"año";"sector";"actividad";"subactividad";"categoria";"id_ipcc";"tipo_de_gas";"valor_en_toneladas_de_co2e"
"1996";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"N2O";"0.02"
"1997";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"N2O";"0.01"
"1998";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"N2O";"0.02"
"1999";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"N2O";"0.02"
"2000";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"N2O";"0.02"
"2001";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"N2O";"0.01"
"2002";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"N2O";"0.01"
"2003";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"N2O";"0.01"
"2004";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"N2O";"0.02"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"N2O";"0.02"
"2006";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"N2O";"0.03"
"2007";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"N2O";"0.03"
"2008";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"N2O";"0.28"
"2009";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"N2O";"0.27"
"2010";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"N2O";"0.27"
"2011";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"N2O";"0.31"
"2012";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"N2O";"0.33"
"2013";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"N2O";"0.31"
"2014";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"N2O";"0.33"
"2015";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"N2O";"0.33"
"2016";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"N2O";"0.34"
"2017";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"N2O";"0.38"
"2018";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"N2O";"0.40"
"2019";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"N2O";"0.39"
"2020";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"N2O";"0.40"
"2021";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"N2O";"0.42"
"2022";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"N2O";"0.36"
"1990";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CO2";"4.06"
"1991";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CO2";"4.25"
"1992";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CO2";"5.00"
"1993";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CO2";"5.04"
"1994";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CO2";"3.63"
"1995";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CO2";"4.36"
"1996";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CO2";"4.19"
"1997";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CO2";"4.95"
